"Carimbo de data/hora","1 - Em qual curso do IFAL você estuda?","2 - Ano do curso:","3 - Você já ouviu falar de Estatística e suas aplicações?","4 - Você já utilizou seus conhecimentos em Estatística no dia a dia?","5 - Você já ouviu falar de probabilidade, por exemplo, em previsões de chuva em jornais na TV?","6 - Você acha importante ter conhecimentos sobre estatística durante o curso técnico?","7 - Você considera que a Estatística está restrita apenas a Matemática ou está associada as diversas áreas do conhecimento?","8 - Você considera média e desvio padrão das notas obtidas durante as provas como exemplos de Estatísticas?","9 - Você utiliza Estatística ou já utilizou Estatística em Projetos de Pesquisa, Extensão ou Ensino  no IFAL?","10 - Você sabe como os professores calculam a média de suas notas obtidas nas disciplinas?"
"2023/10/05 11:25:44 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:26:28 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:29:27 AM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:47:07 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 11:47:07 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 11:54:19 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Não","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:58:13 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 11:59:49 AM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Não"
"2023/10/05 12:10:24 PM GMT-3","Técnico Integrado em Administração","3º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/05 12:31:40 PM GMT-3","Técnico Integrado em Administração","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 12:42:31 PM GMT-3","Técnico Integrado em Administração","1º ano","Não","Sim","Sim","Sim","A Estatística possui aplicação limitada","Sim","Sim","Sim"
"2023/10/05 1:17:09 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 1:18:57 PM GMT-3","Técnico Integrado em Administração","1º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 1:47:00 PM GMT-3","Técnico Subsequente em Agropecuária","Módulo I","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Não"
"2023/10/05 3:12:12 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Sim","Sim","Não","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Não"
"2023/10/05 3:50:12 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 4:51:34 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 6:24:19 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:19:38 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 7:21:13 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 7:21:25 PM GMT-3","Técnico Integrado em Administração","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/05 7:21:38 PM GMT-3","Técnico Integrado em Agropecuária","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:22:26 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:22:32 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 7:22:35 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Não","Sim","Sim","Sim","A Estatística possui aplicação limitada","Não","Não","Sim"
"2023/10/05 7:23:43 PM GMT-3","Técnico Integrado em Administração","2º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Sim","Sim"
"2023/10/05 7:24:05 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Sim","Sim"
"2023/10/05 7:25:41 PM GMT-3","Técnico Integrado em Administração","1º ano","Sim","Sim","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
"2023/10/05 7:26:07 PM GMT-3","Técnico Subsequente em Agropecuária","Módulo III","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Sim"
"2023/10/05 7:26:22 PM GMT-3","Técnico Integrado em Agropecuária","3º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Sim","Não","Não"
"2023/10/05 7:28:22 PM GMT-3","Técnico Integrado em Agropecuária","1º ano","Sim","Não","Sim","Sim","A Estatística está associada a diversas disciplinas e é frequentemente usada nas diversas áreas","Não","Não","Sim"
